ordernumber,sales_channel,deliverydate,currencycode,order_quantity,discount_applied,unit_price,unit_cost,product_name,customer_names,discount_amount,net_price,profit
SO - 0003875,Online,2019-09-19,USD,1,0.075,2613.0,1907.49,Wardrobes,Weimei Corp,195.975,2417.025,509.5350000000001
SO - 0004783,Online,2019-12-28,USD,6,0.05,3162.4,1676.072,Wardrobes,Weimei Corp,158.12,18025.68,7969.248000000001
SO - 0005998,In-Store,2020-05-22,USD,4,0.05,3845.8,1884.442,Wardrobes,Weimei Corp,192.29000000000002,14614.04,7076.272000000001
SO - 000764,In-Store,2018-09-07,USD,3,0.05,1065.3,553.956,Rugs,Weimei Corp,53.265,3036.105,1374.237
SO - 0003574,Online,2019-08-11,USD,1,0.075,5755.3,3740.945,Rugs,Weimei Corp,431.6475,5323.6525,1582.7075
SO - 0006596,Online,2020-07-28,USD,8,0.075,2445.5,1980.855,Rugs,Weimei Corp,183.4125,18096.7,2249.8600000000006
SO - 0004350,Online,2019-11-18,USD,1,0.075,1125.6,607.8240000000001,Floor Lamps,Weimei Corp,84.41999999999999,1041.1799999999998,433.35599999999977
SO - 0004802,In-Store,2019-12-25,USD,4,0.075,1065.3,798.9749999999999,Floor Lamps,Weimei Corp,79.8975,3941.6099999999997,745.71
SO - 000406,Online,2018-07-30,USD,3,0.075,1206.0,988.92,Vases,Weimei Corp,90.45,3346.6499999999996,379.8899999999999
SO - 0002089,Distributor,2019-02-15,USD,6,0.05,877.7,658.2750000000001,Vases,Weimei Corp,43.885000000000005,5002.89,1053.2399999999998
SO - 0005089,In-Store,2020-01-30,USD,8,0.05,3912.8,1956.4,Vases,Weimei Corp,195.64000000000001,29737.280000000002,14086.080000000002
SO - 0005762,In-Store,2020-05-04,USD,2,0.05,3865.9,2860.766,Vases,Weimei Corp,193.29500000000002,7345.21,1623.6779999999999
SO - 0007808,Distributor,2020-12-21,USD,2,0.075,1701.8,748.792,Vases,Weimei Corp,127.63499999999999,3148.33,1650.7459999999999
SO - 0008035,In-Store,2020-12-27,USD,8,0.1,221.1,159.19199999999998,Vases,Weimei Corp,22.11,1591.92,318.38400000000024
SO - 0003206,In-Store,2019-06-17,USD,1,0.1,1058.6,476.37000000000006,Computers,Weimei Corp,105.86,952.7399999999999,476.36999999999983
SO - 0005700,In-Store,2020-04-22,USD,5,0.05,1058.6,455.198,Computers,Weimei Corp,52.93,5028.349999999999,2752.3599999999997
SO - 000312,Distributor,2018-07-11,USD,8,0.075,227.8,95.676,TV and video,Weimei Corp,17.085,1685.72,920.312
SO - 0002133,Wholesale,2019-02-08,USD,8,0.4,3390.2000000000003,2000.218,TV and video,Weimei Corp,1356.0800000000002,16272.960000000001,271.21600000000035
SO - 0005218,Distributor,2020-02-20,USD,2,0.1,3872.6,2517.19,TV and video,Weimei Corp,387.26,6970.68,1936.3000000000002
SO - 0007088,Wholesale,2020-10-02,USD,4,0.1,3986.5,2631.09,TV and video,Weimei Corp,398.65000000000003,14351.4,3827.039999999999
SO - 0007632,In-Store,2020-11-21,USD,3,0.075,3939.6,1851.612,TV and video,Weimei Corp,295.46999999999997,10932.39,5377.553999999999
SO - 0002219,Online,2019-03-01,USD,1,0.075,5641.400000000001,4456.706000000001,Table Lamps,Weimei Corp,423.105,5218.295,761.588999999999
SO - 0006901,Online,2020-09-13,USD,1,0.05,3242.8,1426.832,Table Lamps,Weimei Corp,162.14000000000001,3080.6600000000003,1653.8280000000002
SO - 0007327,Distributor,2020-10-30,USD,6,0.05,817.4,678.4419999999999,Table Lamps,Weimei Corp,40.870000000000005,4659.18,588.5280000000012
SO - 0007333,Wholesale,2020-10-19,USD,5,0.075,1038.5,768.49,Table Lamps,Weimei Corp,77.8875,4803.0625,960.6125000000002
SO - 0004876,Distributor,2020-01-05,USD,7,0.1,1098.8,890.028,Bar Tools,Weimei Corp,109.88,6922.44,692.2439999999997
SO - 0006419,Distributor,2020-07-13,USD,7,0.1,1058.6,666.9180000000001,Bar Tools,Weimei Corp,105.86,6669.179999999999,2000.753999999998
SO - 0006442,In-Store,2020-07-10,USD,2,0.05,1078.7,862.96,Bar Tools,Weimei Corp,53.935,2049.53,323.6100000000001
SO - 0006804,In-Store,2020-08-26,USD,3,0.05,1715.2,1234.944,Bar Tools,Weimei Corp,85.76,4888.32,1183.4879999999998
SO - 0007186,Distributor,2020-10-11,USD,4,0.15,2251.2000000000003,1508.3040000000003,Bar Tools,Weimei Corp,337.68,7654.080000000001,1620.8639999999996
SO - 0008052,In-Store,2021-01-14,USD,6,0.075,1045.2,438.984,Bar Tools,Weimei Corp,78.39,5800.860000000001,3166.9560000000006
SO - 0003548,Wholesale,2019-07-26,USD,6,0.15,1172.5,644.875,Wall Frames,Weimei Corp,175.875,5979.75,2110.5
SO - 0005357,Online,2020-02-29,USD,1,0.1,1085.4,759.78,Wall Frames,Weimei Corp,108.54000000000002,976.8600000000001,217.08000000000015
SO - 0002073,In-Store,2019-02-12,USD,2,0.075,2921.2000000000003,1460.6,Outdoor Decor,Weimei Corp,219.09,5404.22,2483.0200000000004
SO - 0005237,In-Store,2020-02-25,USD,4,0.075,261.3,107.133,Outdoor Decor,Weimei Corp,19.5975,966.8100000000001,538.278
SO - 0006244,Online,2020-06-21,USD,1,0.05,3832.4,1647.932,Outdoor Decor,Weimei Corp,191.62,3640.78,1992.8480000000002
SO - 0007206,In-Store,2020-10-21,USD,2,0.075,1159.1,579.5500000000001,Outdoor Decor,Weimei Corp,86.93249999999999,2144.335,985.2349999999999
SO - 0007609,Online,2020-11-30,USD,1,0.4,1132.3,622.765,Outdoor Decor,Weimei Corp,452.92,679.3799999999999,56.614999999999895
SO - 0007964,Online,2021-01-01,USD,2,0.075,1802.3,1477.886,Outdoor Decor,Weimei Corp,135.17249999999999,3334.255,378.4830000000002
SO - 000257,Distributor,2018-07-16,USD,8,0.05,2003.3,801.32,Table Linens,Weimei Corp,100.165,15225.08,8814.52
SO - 000488,In-Store,2018-08-17,USD,6,0.05,1822.4,801.856,Table Linens,Weimei Corp,91.12,10387.68,5576.544
SO - 0002577,In-Store,2019-04-06,USD,8,0.15,958.1,795.223,Table Linens,Weimei Corp,143.715,6515.08,153.29600000000028
SO - 0006236,Distributor,2020-06-04,USD,1,0.05,6385.1,2745.5930000000003,Table Linens,Weimei Corp,319.25500000000005,6065.845,3320.252
SO - 000612,Distributor,2018-08-10,USD,3,0.05,971.5,621.76,Outdoor Furniture,Weimei Corp,48.575,2768.7749999999996,903.4949999999997
SO - 0003761,Online,2019-08-15,USD,5,0.075,174.20000000000002,116.714,Outdoor Furniture,Weimei Corp,13.065000000000001,805.6750000000001,222.10500000000013
SO - 0004537,Online,2019-12-07,USD,7,0.075,1902.8,818.204,Outdoor Furniture,Weimei Corp,142.70999999999998,12320.63,6593.201999999999
SO - 0004820,Distributor,2019-12-27,USD,2,0.075,971.5,612.045,Outdoor Furniture,Weimei Corp,72.8625,1797.275,573.1850000000002
SO - 0005483,Online,2020-03-23,USD,1,0.075,5829.0,3730.56,Outdoor Furniture,Weimei Corp,437.175,5391.825,1661.2649999999999
SO - 000864,Online,2018-09-14,USD,6,0.075,2345.0,1242.85,Clocks,Weimei Corp,175.875,13014.75,5557.650000000001
SO - 0002060,Distributor,2019-02-17,USD,4,0.075,1212.7,715.4929999999999,Clocks,Weimei Corp,90.9525,4486.99,1625.018
SO - 0002186,Online,2019-02-03,USD,8,0.2,5353.3,3533.1780000000003,Clocks,Weimei Corp,1070.66,34261.12,5995.696
SO - 0002199,Distributor,2019-02-12,USD,1,0.075,1152.4,507.056,Clocks,Weimei Corp,86.43,1065.97,558.914
SO - 0004254,In-Store,2019-10-24,USD,3,0.05,3845.8,2845.8920000000003,Clocks,Weimei Corp,192.29000000000002,10960.53,2422.8539999999994
SO - 0004475,In-Store,2019-11-28,USD,5,0.3,1105.5,696.465,Clocks,Weimei Corp,331.65,3869.25,386.9249999999997
SO - 0004690,Wholesale,2019-12-26,USD,4,0.1,1011.7,526.0840000000001,Clocks,Weimei Corp,101.17000000000002,3642.12,1537.7839999999997
SO - 0001372,Online,2018-11-29,USD,7,0.2,2626.4,2153.648,Platters,Weimei Corp,525.2800000000001,14707.84,-367.6959999999999
SO - 0003004,Wholesale,2019-05-19,USD,8,0.05,1742.0,801.32,Platters,Weimei Corp,87.10000000000001,13239.2,6828.64
SO - 0003207,Wholesale,2019-06-17,USD,7,0.2,1139.0,523.94,Platters,Weimei Corp,227.8,6378.400000000001,2710.82
SO - 0006288,In-Store,2020-06-29,USD,1,0.2,1038.5,571.1750000000001,Platters,Weimei Corp,207.70000000000002,830.8,259.6249999999999
SO - 0007558,In-Store,2020-11-09,USD,6,0.1,2479.0,1041.18,Platters,Weimei Corp,247.9,13386.599999999999,7139.519999999999
SO - 0001093,In-Store,2018-10-11,USD,8,0.075,804.0,410.04,Mirrors,Weimei Corp,60.3,5949.6,2669.28
SO - 0002891,In-Store,2019-05-24,USD,6,0.05,6385.1,4724.974,Mirrors,Weimei Corp,319.25500000000005,36395.07,8045.225999999999
SO - 0003531,Online,2019-08-04,USD,6,0.3,1902.8,1046.54,Mirrors,Weimei Corp,570.8399999999999,7991.76,1712.5200000000004
SO - 0003175,In-Store,2019-06-19,USD,2,0.05,2284.7000000000003,1804.913,Dinnerware,Weimei Corp,114.23500000000001,4340.93,731.1040000000003
SO - 0004280,Online,2019-10-16,USD,8,0.15,3966.4,2260.848,Dinnerware,Weimei Corp,594.96,26971.52,8884.736
SO - 0003862,In-Store,2019-09-10,USD,6,0.05,3966.4,3331.776,Furniture Cushions,Weimei Corp,198.32000000000002,22608.48,2617.8240000000005
SO - 0004000,Wholesale,2019-09-08,USD,1,0.15,247.9,176.009,Furniture Cushions,Weimei Corp,37.185,210.715,34.70600000000002
SO - 0004060,Online,2019-10-16,USD,1,0.1,3906.1,2265.538,Furniture Cushions,Weimei Corp,390.61,3515.49,1249.9519999999998
SO - 0001463,Online,2018-11-24,USD,2,0.075,1051.9,620.621,Photo Frames,Weimei Corp,78.8925,1946.015,704.7730000000001
SO - 0003375,In-Store,2019-07-04,USD,6,0.05,1822.4,911.2,Photo Frames,Weimei Corp,91.12,10387.68,4920.48
SO - 0001021,In-Store,2018-09-29,USD,8,0.05,1051.9,757.368,Bedroom Furniture,Weimei Corp,52.595000000000006,7994.4400000000005,1935.496
SO - 0001194,Wholesale,2018-10-26,USD,1,0.1,214.4,154.368,Bedroom Furniture,Weimei Corp,21.44,192.96,38.59200000000001
SO - 0001630,In-Store,2018-12-28,USD,1,0.05,1025.1,563.8050000000002,Bedroom Furniture,Weimei Corp,51.254999999999995,973.8449999999999,410.03999999999974
SO - 0002452,Distributor,2019-03-15,USD,8,0.075,1132.3,871.871,Ornaments,Weimei Corp,84.9225,8379.02,1404.0520000000006
SO - 0002696,In-Store,2019-04-24,USD,7,0.2,3953.0,2253.21,Ornaments,Weimei Corp,790.6,22136.8,6364.329999999998
SO - 0005707,In-Store,2020-04-23,USD,4,0.15,5165.7,2737.821,Ornaments,Weimei Corp,774.8549999999999,17563.38,6612.096000000001
SO - 0001735,In-Store,2018-12-21,USD,6,0.2,743.7,438.783,Cocktail Glasses,Weimei Corp,148.74,3569.76,937.0619999999999
SO - 0002080,In-Store,2019-01-30,USD,2,0.4,174.20000000000002,142.844,Cocktail Glasses,Weimei Corp,69.68,209.04000000000002,-76.64799999999997
SO - 0003536,In-Store,2019-08-03,USD,5,0.1,6411.900000000001,3526.5450000000005,Cocktail Glasses,Weimei Corp,641.19,28853.550000000003,11220.825
SO - 0004206,Wholesale,2019-10-29,USD,1,0.075,904.5,587.9250000000001,Cocktail Glasses,Weimei Corp,67.83749999999999,836.6625,248.73749999999995
SO - 0004702,Wholesale,2019-12-22,USD,2,0.05,2519.2000000000003,1309.9840000000002,Cocktail Glasses,Weimei Corp,125.96000000000002,4786.4800000000005,2166.512
SO - 0003898,Distributor,2019-09-16,USD,5,0.05,3825.7,1912.85,Pillows,Weimei Corp,191.285,18172.075,8607.825
SO - 0005605,Online,2020-03-28,USD,7,0.05,837.5,561.125,Pillows,Weimei Corp,41.875,5569.375,1641.5
SO - 0001999,In-Store,2019-02-11,USD,8,0.075,2465.6,1676.608,Wine Storage,Weimei Corp,184.92,18245.44,4832.575999999999
SO - 0007783,In-Store,2020-12-15,USD,6,0.1,1118.9,481.127,Wine Storage,Weimei Corp,111.89000000000001,6042.06,3155.2980000000002
SO - 0007917,Online,2021-01-12,USD,7,0.075,3899.4,2807.568,Wine Storage,Weimei Corp,292.455,25248.615,5595.638999999999
SO - 000506,In-Store,2018-08-21,USD,1,0.2,3879.3,3219.819,Serveware,Weimei Corp,775.8600000000001,3103.44,-116.3789999999999
SO - 0002857,Online,2019-05-01,USD,1,0.05,5433.7,3205.883,Serveware,Weimei Corp,271.685,5162.014999999999,1956.1319999999996
SO - 0004685,Online,2019-12-12,USD,1,0.075,3986.5,2989.875,Floral,Weimei Corp,298.9875,3687.5125,697.6374999999998
SO - 0004772,Online,2020-01-06,USD,6,0.075,3973.1,2781.17,Floral,Weimei Corp,297.98249999999996,22050.704999999998,5363.684999999998
SO - 000628,Online,2018-08-30,USD,6,0.2,241.2,180.9,Blankets,Weimei Corp,48.24,1157.7599999999998,72.35999999999967
SO - 0006985,Distributor,2020-09-11,USD,2,0.3,1862.6,745.0400000000001,Blankets,Weimei Corp,558.78,2607.64,1117.5599999999997
SO - 0006504,In-Store,2020-08-04,USD,3,0.075,2807.3,2049.329,Phones,Weimei Corp,210.5475,7790.2575,1642.2704999999987
SO - 0007854,Wholesale,2020-12-26,USD,1,0.05,3115.5,1900.455,Phones,Weimei Corp,155.775,2959.725,1059.27
SO - 0003302,In-Store,2019-07-03,USD,5,0.05,3899.4,3002.538,Pendants,Weimei Corp,194.97000000000003,18522.15,3509.460000000001
SO - 0008087,In-Store,2021-01-14,USD,1,0.075,234.5,121.94,Pendants,Weimei Corp,17.5875,216.9125,94.9725
SO - 0001134,In-Store,2018-10-08,USD,1,0.05,3061.9,2449.52,Basketball,Weimei Corp,153.095,2908.8050000000003,459.2850000000003
SO - 0003012,Wholesale,2019-06-09,USD,5,0.075,3463.9,2528.647,Basketball,Weimei Corp,259.7925,16020.5375,3377.3025
SO - 0004153,In-Store,2019-10-24,USD,1,0.05,268.0,179.56,Basketball,Weimei Corp,13.4,254.6,75.03999999999999
SO - 0004351,Distributor,2019-10-31,USD,4,0.075,6304.7,4413.29,Basketball,Weimei Corp,472.85249999999996,23327.39,5674.23
SO - 0005145,In-Store,2020-01-28,USD,8,0.075,2492.4,996.96,Basketball,Weimei Corp,186.93,18443.760000000002,10468.080000000002
SO - 0006077,Wholesale,2020-05-20,USD,5,0.05,5038.400000000001,3778.8,Basketball,Weimei Corp,251.92000000000004,23932.4,5038.4000000000015
SO - 0007355,In-Store,2020-10-24,USD,1,0.1,3671.6,2459.972,Basketball,Weimei Corp,367.16,3304.44,844.4679999999998
SO - 0007741,Online,2020-12-08,USD,7,0.05,3658.2,2780.2320000000004,Basketball,Weimei Corp,182.91,24327.03,4865.405999999995
SO - 0005115,Wholesale,2020-02-01,USD,8,0.15,3504.1,2207.583,Wall Coverings,Weimei Corp,525.615,23827.879999999997,6167.215999999997
SO - 0005862,In-Store,2020-05-09,USD,2,0.075,2921.2000000000003,2366.1720000000005,Wall Coverings,Weimei Corp,219.09,5404.22,671.8759999999993
SO - 0002509,Online,2019-03-20,USD,2,0.05,214.4,105.056,Candleholders,Weimei Corp,10.72,407.36,197.24800000000002
SO - 0004125,Wholesale,2019-10-12,USD,7,0.4,2224.4,1846.252,Candleholders,Weimei Corp,889.7600000000001,9342.48,-3581.2839999999997
SO - 0004546,Distributor,2019-11-20,USD,7,0.2,2586.2000000000003,1655.168,Candleholders,Weimei Corp,517.2400000000001,14482.720000000001,2896.5440000000017
SO - 0004993,Online,2020-01-27,USD,7,0.4,1105.5,718.575,Candleholders,Weimei Corp,442.20000000000005,4643.099999999999,-386.9250000000011
SO - 0005775,In-Store,2020-04-30,USD,7,0.3,1956.4,1584.6840000000002,Candleholders,Weimei Corp,586.92,9586.36,-1506.4279999999999
SO - 0002783,Online,2019-05-06,USD,5,0.1,167.5,117.25,Festive,Weimei Corp,16.75,753.75,167.5
SO - 0003172,Wholesale,2019-06-20,USD,3,0.075,2472.3,1211.427,Festive,Weimei Corp,185.4225,6860.6325,3226.3514999999998
SO - 0004271,In-Store,2019-10-23,USD,4,0.075,1078.7,463.841,Festive,Weimei Corp,80.9025,3991.19,2135.826
SO - 0008091,In-Store,2021-01-19,USD,5,0.075,2211.0,1370.82,Festive,Weimei Corp,165.825,10225.875,3371.7750000000005
SO - 0001160,Online,2018-10-25,USD,4,0.05,3819.0,3055.2000000000003,Baseball,Weimei Corp,190.95000000000002,14512.2,2291.3999999999996
SO - 0004101,Online,2019-10-02,USD,4,0.3,1112.2,934.248,Baseball,Weimei Corp,333.66,3114.16,-622.8320000000003
SO - 0006138,Distributor,2020-05-27,USD,3,0.2,5902.7,2420.107,Baseball,Weimei Corp,1180.54,14166.48,6906.159
SO - 0002726,In-Store,2019-04-17,USD,3,0.1,2633.1,1211.226,Collectibles,Weimei Corp,263.31,7109.37,3475.6919999999996
SO - 0003754,Online,2019-09-10,USD,4,0.15,5969.7,3343.032,Collectibles,Weimei Corp,895.4549999999999,20296.98,6924.851999999999
SO - 0001595,Distributor,2018-12-25,USD,6,0.2,978.2,538.0100000000001,Vanities,Weimei Corp,195.64000000000001,4695.360000000001,1467.3000000000002
SO - 0001828,In-Store,2019-01-16,USD,2,0.1,1788.9,840.783,Vanities,Weimei Corp,178.89000000000001,3220.02,1538.454
SO - 0002250,Wholesale,2019-02-21,USD,6,0.075,703.5,576.87,Vanities,Weimei Corp,52.762499999999996,3904.4249999999997,443.2049999999995
SO - 0003780,Wholesale,2019-08-19,USD,5,0.075,1065.3,703.098,Vanities,Weimei Corp,79.8975,4927.0125,1411.5225
SO - 0004302,Online,2019-10-22,USD,8,0.05,1011.7,455.265,Vanities,Weimei Corp,50.58500000000001,7688.92,4046.8
SO - 0007919,Wholesale,2020-12-26,USD,8,0.05,254.6,145.122,Vanities,Weimei Corp,12.73,1934.96,773.9839999999999
SO - 0002227,Online,2019-02-28,USD,4,0.15,1319.9,857.9350000000001,Bean Bags,Weimei Corp,197.985,4487.66,1055.9199999999996
SO - 0003071,In-Store,2019-06-05,USD,5,0.2,2271.3,1408.206,Bean Bags,Weimei Corp,454.26000000000005,9085.2,2044.170000000001
SO - 0005813,Distributor,2020-05-07,USD,1,0.2,1159.1,788.1880000000001,Bean Bags,Weimei Corp,231.82,927.28,139.09199999999987
SO - 000530,Online,2018-08-07,USD,5,0.1,1681.7,1126.739,Dining Furniture,"Fenwal, Corp",168.17000000000002,7567.65,1933.955
SO - 0001210,Distributor,2018-11-05,USD,1,0.05,1728.6,1071.732,Dining Furniture,"Fenwal, Corp",86.43,1642.1699999999998,570.4379999999999
SO - 0002755,Distributor,2019-05-10,USD,5,0.05,904.5,606.015,Dining Furniture,"Fenwal, Corp",45.225,4296.375,1266.3000000000002
SO - 0004469,Distributor,2019-12-03,USD,2,0.075,3872.6,2284.834,Dining Furniture,"Fenwal, Corp",290.445,7164.3099999999995,2594.642
SO - 0008022,In-Store,2021-01-14,USD,4,0.075,3946.3,2683.4840000000004,Dining Furniture,"Fenwal, Corp",295.9725,14601.310000000001,3867.374
SO - 0002195,In-Store,2019-02-26,USD,3,0.075,1675.0,686.75,Wreaths,"Fenwal, Corp",125.625,4648.125,2587.875
SO - 0004376,Wholesale,2019-11-20,USD,8,0.15,3993.2,1717.076,Wreaths,"Fenwal, Corp",598.9799999999999,27153.76,13417.151999999998
SO - 0002034,In-Store,2019-02-08,USD,6,0.1,1065.3,681.792,Stemware,"Fenwal, Corp",106.53,5752.62,1661.8679999999995
SO - 0002602,In-Store,2019-04-27,USD,6,0.075,3785.5,1514.2,Stemware,"Fenwal, Corp",283.91249999999997,21009.525,11924.325
SO - 0004144,Online,2019-10-17,USD,4,0.1,5031.7,2213.948,Stemware,"Fenwal, Corp",503.17,18114.12,9258.328
SO - 0007576,In-Store,2020-11-10,USD,3,0.2,891.1,356.44000000000005,Stemware,"Fenwal, Corp",178.22000000000003,2138.64,1069.3199999999997
SO - 0007824,Wholesale,2020-12-30,USD,8,0.15,221.1,156.981,Stemware,"Fenwal, Corp",33.165,1503.48,247.63200000000006
SO - 000104,Wholesale,2018-06-07,USD,8,0.075,2324.9,1464.687,Accessories,"Fenwal, Corp",174.3675,17204.260000000002,5486.764000000003
SO - 0003092,Wholesale,2019-06-16,USD,8,0.05,676.7,345.117,Accessories,"Fenwal, Corp",33.835,5142.92,2381.984
SO - 0007173,Wholesale,2020-10-08,USD,5,0.05,1159.1,869.325,Accessories,"Fenwal, Corp",57.955,5505.725,1159.1000000000004
SO - 0007295,In-Store,2020-10-09,USD,2,0.075,1011.7,758.7750000000001,Accessories,"Fenwal, Corp",75.8775,1871.645,354.0949999999998
SO - 0007874,Distributor,2020-12-17,USD,8,0.05,1795.6,718.2400000000001,Accessories,"Fenwal, Corp",89.78,13646.56,7900.6399999999985
SO - 0002684,Distributor,2019-04-23,USD,4,0.2,2418.7000000000003,1620.5290000000002,Candles,"Fenwal, Corp",483.74000000000007,7739.840000000001,1257.7240000000002
SO - 0004228,Online,2019-10-09,USD,8,0.1,1038.5,446.555,Candles,"Fenwal, Corp",103.85000000000001,7477.2,3904.7599999999998
SO - 0005393,In-Store,2020-03-14,USD,8,0.1,951.4,732.578,Candles,"Fenwal, Corp",95.14,6850.08,989.4560000000001
SO - 0006870,In-Store,2020-08-29,USD,4,0.075,1045.2,700.2840000000001,Cookware,"Fenwal, Corp",78.39,3867.2400000000002,1066.1039999999998
SO - 0007196,In-Store,2020-10-02,USD,1,0.075,174.20000000000002,128.90800000000002,Cookware,"Fenwal, Corp",13.065000000000001,161.13500000000002,32.227000000000004
SO - 0002198,Distributor,2019-02-20,USD,3,0.1,3979.8,1870.506,Bathroom Furniture,"Fenwal, Corp",397.98,10745.460000000001,5133.942000000001
SO - 0006844,Online,2020-09-01,USD,6,0.1,984.9,610.638,Bathroom Furniture,"Fenwal, Corp",98.49000000000001,5318.46,1654.6319999999996
SO - 0002083,In-Store,2019-02-01,USD,4,0.4,3242.8,2594.24,Sculptures,"Fenwal, Corp",1297.1200000000001,7782.72,-2594.239999999999
SO - 0002604,Distributor,2019-04-04,USD,1,0.05,5688.3,3356.097,Sculptures,"Fenwal, Corp",284.415,5403.885,2047.788
SO - 0006068,In-Store,2020-05-21,USD,3,0.15,2458.9,1303.217,Sculptures,"Fenwal, Corp",368.835,6270.195,2360.5439999999994
SO - 0006081,In-Store,2020-05-29,USD,7,0.4,2211.0,1857.24,Sculptures,"Fenwal, Corp",884.4000000000001,9286.199999999999,-3714.4800000000014
SO - 0006657,Online,2020-08-15,USD,7,0.15,3792.2,2919.994,Sculptures,"Fenwal, Corp",568.8299999999999,22563.59,2123.631999999998
SO - 0001462,In-Store,2018-12-01,USD,5,0.1,5038.400000000001,2720.7360000000003,Audio,"Fenwal, Corp",503.8400000000001,22672.800000000003,9069.12
SO - 0003562,Distributor,2019-08-07,USD,1,0.05,2351.7000000000003,1011.231,Audio,"Fenwal, Corp",117.58500000000002,2234.1150000000002,1222.8840000000002
SO - 0007039,Wholesale,2020-10-07,USD,6,0.05,2318.2000000000003,1530.0120000000002,Audio,"Fenwal, Corp",115.91000000000003,13213.740000000002,4033.6680000000015
SO - 0007448,Online,2020-10-31,USD,4,0.15,2358.4,1815.968,Audio,"Fenwal, Corp",353.76,8018.56,754.6880000000001
SO - 0004419,In-Store,2019-11-25,USD,2,0.05,3979.8,3104.244,Bakeware,"Fenwal, Corp",198.99,7561.620000000001,1353.1320000000005
SO - 0004935,Online,2020-01-19,USD,8,0.05,5326.5,4367.73,Bakeware,"Fenwal, Corp",266.325,40481.4,5539.560000000005
SO - 0007823,Distributor,2021-01-04,USD,5,0.2,221.1,114.972,Bakeware,"Fenwal, Corp",44.22,884.4,309.53999999999996
SO - 0001400,Online,2018-11-27,USD,8,0.1,221.1,183.513,Wardrobes,"Fenwal, Corp",22.11,1591.92,123.81600000000003
SO - 0003451,In-Store,2019-07-24,USD,2,0.075,6378.400000000001,3890.824,Wardrobes,"Fenwal, Corp",478.38,11800.04,4018.3920000000007
SO - 0004965,Distributor,2020-01-19,USD,5,0.1,3825.7,1874.593,Wardrobes,"Fenwal, Corp",382.57,17215.649999999998,7842.684999999998
SO - 0005259,In-Store,2020-02-13,USD,8,0.05,2438.8,1999.816,Wardrobes,"Fenwal, Corp",121.94000000000001,18534.88,2536.3520000000008
SO - 0007069,Online,2020-10-01,USD,7,0.075,241.2,161.604,Wardrobes,"Fenwal, Corp",18.09,1561.77,430.5419999999999
SO - 000444,In-Store,2018-07-29,USD,1,0.05,1118.9,794.419,Rugs,"Fenwal, Corp",55.94500000000001,1062.9550000000002,268.5360000000002
SO - 000638,Online,2018-08-26,USD,3,0.15,924.6,536.268,Rugs,"Fenwal, Corp",138.69,2357.7300000000005,748.9260000000004
SO - 0001325,In-Store,2018-11-27,USD,6,0.075,1185.9,913.143,Rugs,"Fenwal, Corp",88.94250000000001,6581.745,1102.8869999999997
SO - 0001787,Distributor,2019-01-17,USD,3,0.05,1058.6,857.4660000000001,Rugs,"Fenwal, Corp",52.93,3017.0099999999998,444.6119999999996
SO - 0003069,In-Store,2019-05-18,USD,4,0.15,1252.9,826.9140000000001,Rugs,"Fenwal, Corp",187.935,4259.860000000001,952.2040000000002
SO - 0004835,Online,2020-01-18,USD,6,0.2,2418.7000000000003,1378.659,Rugs,"Fenwal, Corp",483.74000000000007,11609.760000000002,3337.8060000000005
SO - 0001484,Wholesale,2018-11-28,USD,4,0.15,247.9,180.967,Floor Lamps,"Fenwal, Corp",37.185,842.86,118.99199999999996
SO - 0001492,Online,2018-12-12,USD,8,0.3,1112.2,500.49,Floor Lamps,"Fenwal, Corp",333.66,6228.32,2224.3999999999996
SO - 0002587,Online,2019-04-17,USD,7,0.075,268.0,227.8,Floor Lamps,"Fenwal, Corp",20.099999999999998,1735.3,140.69999999999982
SO - 0003794,Distributor,2019-08-30,USD,2,0.1,241.2,135.07200000000003,Floor Lamps,"Fenwal, Corp",24.12,434.15999999999997,164.0159999999999
SO - 0006022,Online,2020-05-31,USD,7,0.4,1742.0,992.94,Floor Lamps,"Fenwal, Corp",696.8000000000001,7316.399999999999,365.8199999999988
SO - 0007959,Online,2021-01-06,USD,8,0.4,2378.5,1522.24,Floor Lamps,"Fenwal, Corp",951.4000000000001,11416.8,-761.1200000000008
SO - 0001875,Distributor,2019-01-22,USD,2,0.1,3825.7,2333.677,Vases,"Fenwal, Corp",382.57,6886.259999999999,2218.905999999999
SO - 0002518,In-Store,2019-03-25,USD,6,0.15,991.6,763.532,Vases,"Fenwal, Corp",148.74,5057.16,475.96799999999985
SO - 0006096,In-Store,2020-05-29,USD,2,0.1,268.0,198.32,Vases,"Fenwal, Corp",26.8,482.4,85.75999999999999
SO - 0006412,Online,2020-07-11,USD,2,0.075,1058.6,868.052,Vases,"Fenwal, Corp",79.395,1958.4099999999999,222.3059999999998
SO - 000561,In-Store,2018-08-10,USD,8,0.05,1206.0,663.3000000000001,Computers,"Fenwal, Corp",60.300000000000004,9165.6,3859.2
SO - 000947,In-Store,2018-09-20,USD,7,0.4,2298.1,988.183,Computers,"Fenwal, Corp",919.24,9652.019999999999,2734.7389999999987
SO - 0002253,Online,2019-03-07,USD,1,0.075,991.6,803.196,Computers,"Fenwal, Corp",74.37,917.23,114.03399999999999
SO - 0005600,In-Store,2020-03-27,USD,7,0.05,971.5,505.18,Computers,"Fenwal, Corp",48.575,6460.474999999999,2924.2149999999992
